Episode,RL_Agent,Bot 60/40,Epsilon
500,4.00,47.80,0.787701
1000,3.60,48.10,0.624909
1500,4.20,47.70,0.497520
2000,3.00,48.50,0.401139
2500,2.20,48.90,0.326956
3000,2.40,48.60,0.267638
3500,2.00,49.00,0.219391
4000,2.60,48.70,0.179235
4500,1.80,49.10,0.148421
5000,1.40,49.30,0.123360
5500,1.00,49.50,0.103029
6000,1.80,49.10,0.086131
6500,2.60,48.70,0.072125
7000,1.00,49.50,0.060626
7500,0.40,49.80,0.050866
8000,0.80,49.60,0.042838
8500,0.60,49.70,0.036225
9000,1.20,49.40,0.030577
9500,2.00,49.00,0.025848
10000,2.20,48.90,0.021871
10500,1.60,49.20,0.018416
11000,1.40,49.30,0.015576
11500,0.80,49.60,0.013113
12000,1.00,49.50,0.011012
12500,1.60,49.20,0.010000
13000,1.40,49.30,0.010000
13500,1.80,49.10,0.010000
14000,0.80,49.60,0.010000
14500,2.20,48.90,0.010000
15000,1.80,49.10,0.010000
15500,2.00,49.00,0.010000
16000,0.40,49.80,0.010000
16500,0.60,49.70,0.010000
17000,1.40,49.30,0.010000
17500,1.80,49.10,0.010000
18000,2.00,49.00,0.010000
18500,0.60,49.70,0.010000
19000,0.40,49.80,0.010000
19500,0.20,49.90,0.010000
20000,0.40,49.80,0.010000
20500,0.60,49.70,0.010000
21000,0.60,49.70,0.010000
21500,1.20,49.40,0.010000
22000,1.20,49.40,0.010000
22500,0.20,49.90,0.010000
23000,0.80,49.60,0.010000
23500,0.80,49.60,0.010000
24000,1.20,49.40,0.010000
24500,1.00,49.50,0.010000
25000,0.40,49.80,0.010000
25500,0.40,49.80,0.010000
26000,0.00,50.00,0.010000
26500,0.80,49.60,0.010000
27000,0.20,49.90,0.010000
27500,0.20,49.90,0.010000
28000,0.60,49.70,0.010000
28500,0.60,49.70,0.010000
29000,0.40,49.80,0.010000
29500,0.80,49.50,0.010000
30000,1.20,49.40,0.010000
30500,0.80,49.50,0.010000
31000,0.40,49.80,0.010000
31500,0.60,49.70,0.010000
32000,2.00,49.00,0.010000
32500,1.80,49.10,0.010000
33000,1.20,49.40,0.010000
33500,0.00,50.00,0.010000
34000,0.40,49.80,0.010000
34500,0.60,49.70,0.010000
35000,0.40,49.80,0.010000
35500,0.40,49.80,0.010000
36000,1.40,49.30,0.010000
36500,0.60,49.70,0.010000
37000,1.20,49.40,0.010000
37500,0.40,49.80,0.010000
38000,0.60,49.70,0.010000
38500,1.00,49.50,0.010000
39000,0.40,49.80,0.010000
39500,0.20,49.90,0.010000
40000,0.00,50.00,0.010000
40500,0.00,50.00,0.010000
41000,0.00,50.00,0.010000
41500,0.60,49.70,0.010000
42000,0.40,49.80,0.010000
42500,0.00,50.00,0.010000
43000,0.00,50.00,0.010000
43500,0.20,49.90,0.010000
44000,0.40,49.80,0.010000
44500,0.40,49.80,0.010000
45000,0.00,50.00,0.010000
45500,0.20,49.90,0.010000
46000,0.40,49.80,0.010000
46500,0.00,50.00,0.010000
47000,0.00,50.00,0.010000
47500,0.00,50.00,0.010000
48000,0.00,50.00,0.010000
48500,0.20,49.90,0.010000
49000,0.00,50.00,0.010000
49500,0.00,50.00,0.010000
50000,0.00,50.00,0.010000
